species_name,common_name,status,category,extent,temporal_range,expected_obs,actual_obs,last_updated,taxonomic_rank,gbif_key,data_quality,color,notes,countries_observed,subregion,host_plants,host_plant_families,host_plant_status
Pholisora catullus,Common Sootywing,ingested,lepidoptera,"[-123.38, 19.04, -71.34, 50.68]",2015-01-01 to 2021-07-31,0.0,625.0,2026-01-31,SPECIES,1951217,100.0,,,"CA,MX,US",Northern America,"Amaranthus, Amaranthus albus, Amaranthus caudatus, Amaranthus hybridus, Amaranthus retroflexus, Amaranthus spinosus, Ambrosia, Atriplex rosea, Celosia cristata, Chenopodium, Chenopodium album, Chenopodium ambrosioides, Chenopodium berlandieri, Chenopodium foliosum, Saccharum officinarum","Amaranthaceae, Asteraceae, Poaceae",complete
Satyrium calanus,Banded Hairstreak,ingested,lepidoptera,"[-121.90, 28.49, -70.36, 45.82]",2025-04-12 to 2025-06-30,0.0,300.0,2026-01-31,SPECIES,5139029,100.0,,,US,Northern America,"Acer negundo, Carya, Carya glabra, Carya ovata, Castanea dentata, Fraxinus, Juglans, Juglans cinerea, Juglans microcarpa, Juglans nigra, Malus pumila, Prunus virginiana, Quercus, Quercus alba, Quercus coccinea/rubra, Quercus falcata, Quercus gambelii, Quercus incana, Quercus laevis, Quercus macrocarpa, Quercus prinus, Quercus rubra","Aceraceae, Fagaceae, Juglandaceae, Oleaceae, Rosaceae",complete
Callophrys gryneus,Juniper Hairstreak,ingested,lepidoptera,"[-125.05, 28.48, -70.12, 50.49]",2015-01-24 to 2020-05-31,0.0,459.0,2026-01-31,SPECIES,4300347,100.0,,,"CA,US",Northern America,"Betula, Calluna vulgaris, Ceanothus fendleri, Clerodendrum paniculatum, Colutea arborescens, Cornus, Cornutia grandifolia, Cytisus, Enkianthus japonicus, Eriogonum, Eriogonum compositum, Eriogonum corymbosum, Eriogonum elatum, Eriogonum fasciculatum, Eriogonum flavum, Eriogonum heermannii, Eriogonum heracleoides, Eriogonum incanum, Eriogonum jamesi, Eriogonum kennedyi, Eriogonum latifolium, Eriogonum marifolium, Eriogonum nudum, Eriogonum umbellatum, Eriogonum wrightii, Genista tinctoria, Helianthemum, Lantana camara, Lithraea brasiliensis, Lotus, Lotus argophyllus, Lotus corniculatus, Lotus crassifolius, Lotus oblongifolius, Lotus scoparius, Lotus strigosus, Mangifera indica, Mikania, Pieris japonica, Prunus padus, Rhamnus, Rhododendron, Rubus, Rubus idaeus, Schinus molle, Schinus polygamus, Trifolium medium, Ulex, Vaccinium myrtillus, Vaccinium uliginosum, Vicia cracca","Anacardiaceae, Asteraceae, Betulaceae, Cistaceae, Cornaceae, Ericaceae, Fabaceae, Polygonaceae, Rhamnaceae, Rosaceae, Verbenaceae",complete
Lycaena heteronea,Blue Copper,ingested,lepidoptera,"[-122.73, 38.92, -105.22, 49.46]",2024-07-12 to 2025-08-12,0.0,29.0,2026-01-31,SPECIES,5139346,100.0,,,"CA,US",Northern America,"Abutilon, Centaurea, Goniolimon speciosum, Oxyria digyna, Polygonum, Polygonum viviparum, Rheum rhabarbarum, Rumex, Rumex acetosa, Rumex acetosella, Rumex aquaticus, Rumex bequaertii, Rumex crispus, Rumex hydrolapathum, Rumex japonicus, Rumex longifolius, Rumex nepalensis, Rumex paucifolius","Asteraceae, Malvaceae, Plumbaginaceae, Polygonaceae",complete
Erynnis baptisiae,Wild Indigo Duskywing,ingested,lepidoptera,"[-97.48, 29.30, -69.24, 45.46]",2017-03-25 to 2022-07-30,0.0,892.0,2026-01-31,SPECIES,5977220,100.0,,,"CA,US",Northern America,"Astragalus canadensis, Baptisia, Baptisia alba, Baptisia australis, Baptisia bracteata, Baptisia tinctoria, Coronilla varia, Crotalaria sagittalis, Lupinus perennis, Thermopsis villosa",Fabaceae,complete
Polyura jalysus,Indian Yellow Nawab,ingested,lepidoptera,"[98.12, 1.41, 112.00, 20.63]",2015-06-10 to 2025-12-02,,142.0,2026-02-12,SPECIES,5127998,100.0,,,"ID,KH,LA,MY,TH,VN",South-Eastern Asia,"Acacia, Acacia baileyana, Acacia caesia, Acacia catechu, Acacia dealbata, Acacia decurrens, Acacia farnesiana, Acacia fulva, Acacia longifolia, Acacia maidenii, Acacia mearnsii, Acacia neriifolia, Acacia pennata, Acacia podalyriafolia, Acacia saligna, Acacia sinuata, Acacia spectabilis, Adenanthera, Adenanthera bicolor, Adenanthera pavonina, Albizia, Albizia chinensis, Albizia corniculata, Albizia falcataria, Albizia julibrissin, Albizia lebbeck, Albizia lebbek, Albizia moluccana, Annona, Brachychiton acerifolius, Brachychiton discolor, Brachychiton populneum, Bridelia ovata, Bruguiera cylindrica, Caesalpinia, Caesalpinia bonduc, Caesalpinia ferrea, Caesalpinia gilliesii, Caesalpinia major, Caesalpinia mimosoides, Caesalpinia regia, Caesalpinia sappan, Cassia fistula, Cassia javanica, Cassia surattensis, Castanopsis, Celtis, Celtis boninensis, Celtis formosana, Celtis paniculata, Celtis philippensis, Celtis sinensis, Cinnamomum, Cinnamomum camphora, Cynometra, Cynometra cauliflora, Delonix regia, Grewia, Guilfoylia monostylis, Lagerstroemia indica, Leucaena leucocephala, Mesua ferrea, Millettia reticulata, Moullava spicata, Nephelium, Nephelium lappaceum, Pararchidendron pruinosum, Paraserianthes falcataria, Paraserianthes lophantha, Parkia speciosa, Peltophorum pterocarpum, Pithecellobium, Pithecellobium clypearia, Pithecellobium dulce, Pithecellobium jiringa, Pithecellobium lucidum, Prunus phaeosticta, Rhamnella franguloides, Rhamnella inaequilatera, Rhizophora apiculata, Rhizophora mucronata, Robinia pseudoacacia, Rosa, Rourea santaloides, Senna alata, Tectona grandis, Theobroma cacao, Trema orientalis, Ventilago leiocarpa","Annonaceae, Connaraceae, Euphorbiaceae, Fabaceae, Fagaceae, Hypericaceae, Lauraceae, Lythraceae, Rhamnaceae, Rhizophoraceae, Rosaceae, Sapindaceae, Sterculiaceae, Surianaceae, Tiliaceae, Ulmaceae, Verbenaceae",complete
Parthenos aspila,,ingested,lepidoptera,"[133.91, -5.22, 145.79, -1.11]",2015-04-03 to 2024-12-30,,40.0,2026-02-12,SPECIES,5129273,100.0,,,"ID,PG",South-Eastern Asia,"Adenia, Adenia palmata, Adenia penangiana, Tinospora, Tinospora cordifolia","Menispermaceae, Passifloraceae",complete
Parthenos sylvia,Clipper,ingested,lepidoptera,"[-72.66, -15.71, 168.17, 52.20]",2015-01-21 to 2025-12-28,,1914.0,2026-02-12,SPECIES,7346331,100.0,,,"BD,BN,CN,GB,ID,IN,KH,LA,LK,MM,MY,PG,PH,SB,SG,TH,US,VN,VU",South-Eastern Asia,"Adenia, Adenia palmata, Adenia penangiana, Tinospora, Tinospora cordifolia","Menispermaceae, Passifloraceae",complete
Lycaena alciphron,Purple-shot Copper,ingested,lepidoptera,"[-9.06, 31.15, 92.95, 59.43]",2015-01-01 to 2025-08-24,,12105.0,2026-02-12,SPECIES,8356768,100.0,,,"AD,AL,AM,AT,AZ,BA,BG,BY,CH,CZ,DE,EE,ES,FR,GE,GR,HR,HU,IR,IT,KG,KZ,LT,LV,MA,ME,MK,PL,PT,RO,RS,RU,SI,SK,TR,UA,XK",Southern Europe,"Abutilon, Centaurea, Goniolimon speciosum, Oxyria digyna, Polygonum, Polygonum viviparum, Rheum rhabarbarum, Rumex, Rumex acetosa, Rumex acetosella, Rumex aquaticus, Rumex bequaertii, Rumex crispus, Rumex hydrolapathum, Rumex japonicus, Rumex longifolius, Rumex nepalensis, Rumex paucifolius","Asteraceae, Malvaceae, Plumbaginaceae, Polygonaceae",complete
Eucyclodes gavissima,Oriental Orange-banded Green Geometer Moth,ingested,lepidoptera,"[73.41, 3.25, 129.37, 37.98]",2015-07-26 to 2025-10-13,,79.0,2026-02-12,SPECIES,6133651,100.0,,,"CN,ID,IN,KR,MM,MY,TH,VN",South-Eastern Asia,"Memecylon, Memecylon edule",Melastomataceae,complete
Hypolimnas bolina,Great Eggfly or Common Eggfly,ingested,lepidoptera,"[-180.00, -43.01, 180.00, 51.09]",2015-01-03 to 2025-12-31,,23878.0,2026-02-12,SPECIES,1910629,100.0,,,"AS,AU,BD,BE,BN,BT,CC,CK,CN,CX,DE,FJ,FM,GU,HK,ID,IN,IO,IT,JP,KH,KR,LA,LK,MG,MH,MM,MO,MP,MV,MY,NC,NF,NP,NU,NZ,OM,PF,PG,PH,PK,PW,SB,SG,TH,TL,TO,TW,UG,VN,VU,WS",South-Eastern Asia,"Abutilon, Achyranthes aspera, Alternanthera, Alternanthera denticulata, Alternanthera philoxeroides, Alternanthera sessilis, Asystasia, Asystasia gangetica, Asystasia scandens, Blechum, Blechum pyramidatum, Commelina communis, Desmodium caudatum, Eclipta, Eclipta prostrata, Elatostema, Elatostema cuneatum, Eranthemum pacificum, Ficus, Ficus microcarpa, Ficus pumila, Ipomoea, Ipomoea aquatica, Ipomoea batatas, Ipomoea gracilis, Ipomoea hederacea, Ipomoea indica, Ipomoea pes-caprae, Ipomoea triloba, Justicia, Laportea, Laportea interrupta, Malvastrum coromandelianum, Merremia, Merremia hederacea, Perilla frutescens, Persicaria prostrata, Phaseolus, Pipturus, Pipturus argenteus, Polygonum, Portulaca, Portulaca oleracea, Pseuderanthemum, Pseuderanthemum bicolor, Pseuderanthemum mulleri-fernandi, Pseuderanthemum variabile, Richardia, Richardia brasiliensis, Ruellia, Ruellia aruensis, Ruellia guppyi, Sida, Sida acuta, Sida alnifolia, Sida fallax, Sida javensis, Sida rhombifolia, Synedrella, Synedrella nodiflora, Triumfetta rhomboidea, Urtica, Urtica dioica, Urtica urens, Vigna umbellata","Acanthaceae, Amaranthaceae, Asteraceae, Commelinaceae, Convolvulaceae, Fabaceae, Lamiaceae, Malvaceae, Moraceae, Polygonaceae, Portulacaceae, Rubiaceae, Tiliaceae, Urticaceae",complete
Apatura ilia,Lesser Purple Emperor,ingested,lepidoptera,"[-78.66, -12.78, -67.81, 5.42]",2015-10-19 to 2025-11-28,,33142.0,2026-02-12,SPECIES,8138711,100.0,,,,,"Alnus, Populus, Populus alba, Populus italica, Populus nigra, Populus tremula, Salix, Salix X blanda, Salix alba, Salix babylonica, Salix caprea, Salix koriyanagi, Salix rosmarinifolia, Salix viminalis","Betulaceae, Salicaceae",complete
Eogenes alcides,Alcides skipper,ingested,lepidoptera,"[-9.10, 23.75, 145.51, 64.21]",2015-01-01 to 2025-12-27,,34.0,2026-02-12,SPECIES,1950164,100.0,,,"AD,AL,AM,AT,AX,BA,BE,BG,BY,CH,CN,CZ,DE,DK,EE,ES,FI,FR,GE,GR,HR,HU,IT,JP,KR,LT,LU,LV,ME,MK,NL,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA,XK",Southern Europe,Phoenix dactylifera,Arecaceae,complete
Heliconius erato,Common Patch Longwing,ingested,lepidoptera,"[40.87, 35.86, 53.86, 41.28]",2015-06-14 to 2025-08-04,,6706.0,2026-02-12,SPECIES,1900872,100.0,,,"AM,GE,IQ,IR,TR",Western Asia,"Dilkea, Passiflora, Passiflora X violaceae, Passiflora alata, Passiflora auriculata, Passiflora biflora, Passiflora caerulea, Passiflora candollei, Passiflora capsularis, Passiflora chelidonea, Passiflora coriacea, Passiflora cuspidifolia, Passiflora edulis, Passiflora glaucescens, Passiflora hahnii, Passiflora ichthyura, Passiflora jileki, Passiflora laurifolia, Passiflora miersii, Passiflora morifolia, Passiflora mucronata, Passiflora organensis, Passiflora ovalis, Passiflora pohlii, Passiflora punctata, Passiflora resticulata, Passiflora rhamnifolia, Passiflora rubra, Passiflora suberosa, Passiflora talamancensis, Passiflora truncata, Passiflora tryphostemmatoides, Passiflora tuberosa, Passiflora vespertilio",Passifloraceae,complete
Bebearia sophus,Sophus Forester,ingested,lepidoptera,"[-115.65, -32.37, 8.81, 56.56]",2015-01-03 to 2025-12-31,,32.0,2026-02-12,SPECIES,1904255,100.0,,,,,"Chrysophyllum, Landolphia","Apocynaceae, Sapotaceae",complete
Dione moneta,Mexican Silverspot,ingested,lepidoptera,"[-160.17, -34.84, -34.80, 26.22]",2015-01-03 to 2025-12-31,,5841.0,2026-02-12,SPECIES,8367663,100.0,,,"AR,BO,BR,BZ,CK,CO,CR,CW,EC,GF,GT,GY,HN,MX,NI,PA,PE,PY,SR,SV,TT,US,UY,VE",South America,"Passiflora, Passiflora X violaceae, Passiflora adenopoda, Passiflora capsularis, Passiflora edulis, Passiflora lobata, Passiflora morifolia",Passifloraceae,complete
Chlosyne hoffmanni,Hoffmann's Checkerspot,ingested,lepidoptera,"[-4.05, -2.76, 34.89, 8.94]",2015-09-02 to 2025-09-12,,861.0,2026-02-12,SPECIES,1914484,100.0,,,"CD,CI,GA,GH,KE,NG,TG,UG",Sub-Saharan Africa,"Amaranthus, Amaranthus hybridus, Ambrosia artemisiifolia, Ambrosia trifida, Anisacanthus quadrifidus, Aphelandra scabra, Baltimora, Calyptocarpus vialis, Clibadium, Dicliptera brachiata, Dicliptera sexangularis, Eupatorium, Gaillardia pulchella, Grindelia microcephala, Helianthus, Helianthus annuus, Helianthus argophyllus, Helianthus ciliaris, Helianthus debilis, Helianthus maximiliani, Helianthus petiolaris, Helianthus tuberosus, Heterotheca subaxillaris, Justicia, Melanthera, Odontonema callistachyum, Palafoxia hookeriana, Palafoxia sphacelata, Parthenium hysterophorus, Pilea, Silphium, Silphium albiflorum, Silphium radula, Simsia calva, Siphonoglossa pilosella, Stenandrium barbatum, Verbesina encelioides, Verbesina virginica, Viguiera, Viguiera deltoidea, Viguiera dentata, Viguiera parishii, Wedelia acapulcensis, Wedelia glauca, Xanthium strumarium","Acanthaceae, Amaranthaceae, Asteraceae, Urticaceae",complete
Euphaedra janetta,Janetta Themis Forester,ingested,lepidoptera,"[-115.65, -34.83, -44.19, 38.86]",2015-01-01 to 2025-12-31,,46.0,2026-02-12,SPECIES,1896456,100.0,,,"AR,BO,BR,CO,CR,EC,GT,HN,MX,NI,PA,PE,SV,US,VE",Central America,"Allophylus, Allophylus macrobotrys, Allophylus subcoriaceus, Blighia, Blighia sapida, Blighia unijugata, Blighia zambesiaca, Citrus, Cola, Deinbollia, Deinbollia borbonica, Deinbollia fulvotomentella, Deinbollia kilimandscharica, Deinbollia pinnata, Dennettia, Dennettia tripetala, Lecaniodiscus, Lecaniodiscus cupanioides, Pancovia, Pancovia pedicellaris, Paullinia, Paullinia pinnata, Phoenix reclinata, Rhus, Sorindeia, Sorindeia warneckei","Anacardiaceae, Annonaceae, Arecaceae, Rutaceae, Sapindaceae, Sterculiaceae",complete
Marpesia zerynthia,Waiter Daggerwing,ingested,lepidoptera,"[-123.48, 37.07, -118.99, 49.60]",2015-06-20 to 2025-08-12,,719.0,2026-02-12,SPECIES,9219529,100.0,,,"CA,US",Northern America,"Anacardium, Anacardium occidentale, Artocarpus, Artocarpus heterophyllus, Artocarpus integrifolia, Brosimum, Brosimum alicastrum, Brosimum lactescens, Ficus, Ficus aurea, Ficus benjamina, Ficus carica, Ficus citrifolia, Ficus goldmanii, Ficus microcarpa, Ficus pertusa, Hedera helix, Maclura, Maclura excelsa, Maclura pomifera, Maclura tinctoria, Morus, Morus alba, Morus nigra, Zanthoxylum, Zanthoxylum fagara, Zanthoxylum rhoifolium","Anacardiaceae, Araliaceae, Moraceae, Rutaceae",complete
Marpesia marcella,Pansy Daggerwing,ingested,lepidoptera,"[-11.20, 4.10, 9.06, 8.18]",2016-02-04 to 2025-09-13,,376.0,2026-02-12,SPECIES,5133634,100.0,,,"CI,CM,GH,GN,LR,SL",Sub-Saharan Africa,"Anacardium, Anacardium occidentale, Artocarpus, Artocarpus heterophyllus, Artocarpus integrifolia, Brosimum, Brosimum alicastrum, Brosimum lactescens, Ficus, Ficus aurea, Ficus benjamina, Ficus carica, Ficus citrifolia, Ficus goldmanii, Ficus microcarpa, Ficus pertusa, Hedera helix, Maclura, Maclura excelsa, Maclura pomifera, Maclura tinctoria, Morus, Morus alba, Morus nigra, Zanthoxylum, Zanthoxylum fagara, Zanthoxylum rhoifolium","Anacardiaceae, Araliaceae, Moraceae, Rutaceae",complete
Euphaedra neophron,Gold-banded Forester,ingested,lepidoptera,"[-99.00, -30.07, -41.05, 21.40]",2015-01-17 to 2025-12-26,,906.0,2026-02-12,SPECIES,1896600,100.0,,,"BO,BR,CO,CR,EC,GT,HN,MX,NI,PA,PE,SV,VE",Central America,"Allophylus, Blighia, Deinbollia, Deinbollia borbonica, Deinbollia kilimandscharica, Paullinia",Sapindaceae,complete
Euthalia formosana,Formosan Duke,ingested,lepidoptera,"[-91.80, -17.17, -65.76, 15.54]",2015-03-18 to 2025-11-22,,147.0,2026-02-12,SPECIES,5130908,100.0,,,"BO,CO,CR,EC,GT,HN,NI,PA,PE,VE",Central America,"Lithocarpus hancei, Mallotus philippensis, Quercus, Quercus acuta, Quercus glauca","Euphorbiaceae, Fagaceae",complete
Papilio maackii,Alpine Black Swallowtail,ingested,lepidoptera,"[-13.18, -28.39, 40.51, 12.96]",2015-01-19 to 2025-12-30,,1061.0,2026-02-12,SPECIES,1938168,100.0,,,"KE,MW,MZ,RW,SN,TZ,ZA,ZM,ZW",Sub-Saharan Africa,"Euodia meliaefolia, Orixa japonica, Phellodendron amurense, Zanthoxylum ailanthoides",Rutaceae,complete
Lexias pardalis,Common Archduke,ingested,lepidoptera,"[99.01, 25.74, 147.77, 53.27]",2015-01-01 to 2025-10-29,,3500.0,2026-02-12,SPECIES,10043827,100.0,,,"CN,JP,KR,RU",Eastern Asia,"Achyronychia, Agathis robusta, Calophyllum, Cratoxylum maingayi, Garcinia lateriflora","Araucariaceae, Hypericaceae, Illecebraceae",complete
Alcides metaurus,Zodiac Moth,ingested,lepidoptera,"[131.70, -23.90, 151.26, -0.78]",2015-09-25 to 2025-12-28,,668.0,2026-02-12,SPECIES,5143279,100.0,,,"AU,ID",Australia and New Zealand,"Endospermum, Omphalea",Euphorbiaceae,complete
Papilio palinurus,Banded Peacock,ingested,lepidoptera,"[12.57, -6.56, 124.88, 55.69]",2015-11-27 to 2025-11-04,118.0,117.0,2026-02-13,SPECIES,1937966,99.2,,,"DK,ID,LK,MY,PH,TH",South-Eastern Asia,"Clausena excavata, Euodia, Micromelum minutum",Rutaceae,complete
Phocides pigmalion,Mangrove Skipper,ingested,lepidoptera,"[131.70, -23.90, 151.26, -0.78]",2015-09-25 to 2025-12-28,,359.0,2026-02-12,SPECIES,1947587,100.0,,,"AU,ID",Australia and New Zealand,Rhizophora mangle,Rhizophoraceae,complete
Erebia cassioides,Common Brassy Ringlet,ingested,lepidoptera,"[-5.96, 39.90, 23.52, 47.37]",2015-06-30 to 2025-09-11,,2734.0,2026-02-12,SPECIES,8137978,100.0,,,"AD,AT,BG,CH,ES,FR,IT",Western Europe,"Agrostis canina, Aira, Aira praecox, Carex, Carex atratiformis, Carex atrofusca, Carex conica, Carex multifolia, Carex pisiformis, Carex rariflora, Carex reinii, Carex shimidzensis, Dactylis glomerata, Deschampsia cespitosa, Deschampsia setacea, Digitaria, Digitaria sanguinalis, Festuca, Festuca iberica, Festuca liniensis, Festuca ovina, Festuca ovina ?, Festuca rubra, Festuca sp. (rubra group), Holcus mollis, Juncus, Lolium, Lolium arundinaceum, Luzula, Luzula spicata, Milium, Milium effusum, Molinia caerulea, Nardus stricta, Poa, Poa alpina, Poa annua, Poa annua ?, Poa glauca, Poa kamtschatica ?, Poa pratensis, Poa secunda, Poa trivialis, Sesleria caerulea","Cyperaceae, Juncaceae, Poaceae",complete
Nymphalis antiopa,Camberwell Beauty,ingested,lepidoptera,"[-109.12, -29.64, -34.83, 28.68]",2015-01-08 to 2025-12-27,,36098.0,2026-02-12,SPECIES,5130682,100.0,,,"BO,BR,BZ,CO,CR,CU,EC,HN,MX,NI,PA,PE,SR,SV,TT,US",Central America,"Acer, Alnus, Alnus incana, Betula, Betula alleghaniensis, Betula dahurica, Betula ermanii, Betula nana, Betula papyrifera, Betula pendula, Betula platyphylla, Betula pubescens, Celtis, Celtis laevigata, Celtis occidentalis, Fraxinus americana, Humulus lupulus, Morus rubra, Onobrychis viciifolia, Ostrya virginiana, Populus, Populus X jackii, Populus alba, Populus balsamifera, Populus deltoides, Populus grandidentata, Populus maximowiczii, Populus nigra, Populus tremula, Populus tremuloides, Populus x canadensis, Pyrus communis, Rosa, Rubus, Rumex acetosella, Salix, Salix alba, Salix amygdaloides, Salix aurita, Salix babylonica, Salix bebbiana, Salix candida, Salix caprea, Salix cinerea, Salix discolor, Salix exigua, Salix integra, Salix jepsonii, Salix lucida, Salix lutea, Salix nigra, Salix pentandra, Salix phylicifolia, Salix sericea, Salix viminalis, Sorbus, Sparganium, Spiraea alba, Tilia americana, Ulmus, Ulmus americana, Ulmus parvifolia, Ulmus pumila, Ulmus rubra, Urtica","Aceraceae, Betulaceae, Cannabaceae, Corylaceae, Fabaceae, Moraceae, Oleaceae, Polygonaceae, Rosaceae, Salicaceae, Tiliaceae, Typhaceae, Ulmaceae, Urticaceae",complete
Catacroptera cloanthe,Pirate,ingested,lepidoptera,"[-5.96, 39.90, 23.52, 47.37]",2015-06-30 to 2025-09-11,,818.0,2026-02-12,SPECIES,1899198,100.0,,,"AD,AT,BG,CH,ES,FR,IT",Western Europe,"Asystasia, Asystasia gangetica, Barleria, Barleria opaca, Barleria stuhlmannii, Gomphocarpus, Justicia, Justicia pulegioides, Phaulopsis, Phaulopsis falcisepala, Ruellia, Ruellia cordata, Ruellia itogoensis","Acanthaceae, Asclepiadaceae",complete
Fabriciana adippe,High Brown Fritillary,ingested,lepidoptera,"[-155.78, 11.01, 139.65, 69.24]",2015-01-01 to 2025-04-17,,31107.0,2026-02-12,SPECIES,7809779,100.0,,,"AD,AL,AT,AX,BA,BE,BG,BT,BY,CA,CH,CN,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,GT,HR,HU,IE,IT,JP,KZ,LI,LT,LU,LV,ME,MK,MN,MX,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA,US,VE",Southern Europe,"Viola, Viola canina, Viola odorata, Viola sylvatica, Viola tricolor, Viola willkommii",Violaceae,complete
Papilio troilus,Spicebush Swallowtail,ingested,lepidoptera,"[-108.32, 25.29, -68.82, 45.42]",2015-01-01 to 2025-12-23,37266.0,37254.0,2026-02-13,SPECIES,1938104,100.0,,,"CA,US",Northern America,"Cercis canadensis, Cinnamomum camphora, Lindera, Lindera benzoin, Lindera melissifolia, Liriodendron tulipifera, Magnolia, Magnolia virginiana, Persea, Persea borbonia, Photinia arbutifolia, Prunus persica, Prunus serotina, Sassafras, Sassafras albidum, Syringa vulgaris, Zanthoxylum, Zanthoxylum americanum, Zanthoxylum clava-herculis","Fabaceae, Lauraceae, Magnoliaceae, Oleaceae, Rosaceae, Rutaceae",complete
Euphydryas phaeton,Baltimore Checkerspot,ingested,lepidoptera,"[-96.17, 34.78, -59.97, 49.96]",2015-01-01 to 2025-09-04,5637.0,5217.0,2026-02-21,SPECIES,1895138,92.5,,,"CA,US",Northern America,,,
Graellsia isabellae,Spanish Moon Moth,ingested,lepidoptera,"[-72.66, 37.78, 9.72, 50.51]",2015-05-03 to 2025-07-17,699.0,692.0,2026-02-21,SPECIES,5124512,99.0,,,"AD,CH,DE,ES,FR,US",Western Europe,,,
Odina hieroglyphica,Hieroglyphic Flat,ingested,lepidoptera,"[98.51, -4.96, 122.88, 10.03]",2015-06-04 to 2025-11-16,113.0,112.0,2026-02-21,SPECIES,5141643,99.1,,,"ID,MY,SG,TH",South-Eastern Asia,,,
Eurybia molochina,Molochina Underleaf,ingested,lepidoptera,"[-73.27, -28.49, -40.68, 1.24]",2015-03-04 to 2025-12-28,74.0,74.0,2026-03-16,SPECIES,5140654,100.0,,,"BR,CO,PE",South America,,,
Cymothoe hobarti,Hobart's Red Glidder,ingested,lepidoptera,"[16.63, -2.88, 34.94, 2.59]",2015-02-03 to 2024-10-29,18.0,18.0,2026-03-18,SPECIES,11447885,100.0,,,"CD,CG,KE,UG",Sub-Saharan Africa,,,
Taenaris urania,,ingested,lepidoptera,"[126.24, -3.17, 129.47, -2.75]",2016-11-20 to 2025-12-12,6.0,6.0,2026-03-16,SPECIES,1914890,100.0,,,ID,South-Eastern Asia,,,
Thisbe irenea,Irenea Metalmark,ingested,lepidoptera,"[-96.31, -22.86, -42.87, 19.18]",2016-04-28 to 2025-12-31,0.0,199.0,2026-03-18,SPECIES,5140969,100.0,,,"BR,BZ,CO,CR,EC,GF,HN,MX,PA,PE,SR,TT,VE",South America,,,
Adelpha eulalia,Arizona Sister,ingested,lepidoptera,"[-124.46, 14.02, -87.07, 45.87]",2016-01-01 to 2025-12-21,0.0,7868.0,2026-03-18,SPECIES,5714316,100.0,,,"HN,MX,US",Central America,,,
Prepona deiphile,Orange-spotted Prepona,ingested,lepidoptera,"[-147.66, -69.41, -67.61, 20.25]",2015-11-19 to 2025-10-13,11.0,11.0,2026-03-16,SPECIES,1912077,100.0,,,"AQ,BO,CR,GT,MX,PE",Central America,,,
Danaus affinis,Swamp Tiger,ingested,lepidoptera,"[99.82, -33.89, 167.39, 13.43]",2015-01-10 to 2025-12-31,0.0,2139.0,2026-03-18,SPECIES,6100725,100.0,,,"AU,ID,KH,MY,NC,PG,PW,SB,TH,TL,VN",South-Eastern Asia,,,
Trogonoptera brookiana,Raja Brooke's Birdwing,ingested,lepidoptera,"[97.66, -2.79, 118.72, 6.21]",2015-02-17 to 2025-12-20,575.0,575.0,2026-03-18,SPECIES,1937514,100.0,,,"BN,ID,MY",South-Eastern Asia,,,
Euphaedra themis,Themis Forester,ingested,lepidoptera,"[-1.34, 3.98, 9.26, 9.07]",2016-10-10 to 2024-09-19,23.0,22.0,2026-03-16,SPECIES,1896444,95.7,,,"CM,GH,NG,TG",Sub-Saharan Africa,,,
Junonia rhadama,Royal Blue Pansy,ingested,lepidoptera,"[2.19, -25.04, 63.45, 46.64]",2015-02-20 to 2025-12-28,548.0,543.0,2026-03-18,SPECIES,5130487,99.1,,,"FR,KM,MG,MU,RE,TZ,YT",Sub-Saharan Africa,,,
Pachliopta aristolochia,Common Rose Swallowtail,ingested,lepidoptera,"[92.63, 10.16, 107.43, 19.41]",2015-09-13 to 2025-04-30,13.0,13.0,2026-03-18,SPECIES,11833166,100.0,,,"IN,KH,MM,TH,VN",South-Eastern Asia,,,
Morpho cisseis,,ingested,lepidoptera,"[-77.78, -15.80, -50.27, 1.22]",2015-08-06 to 2025-10-07,17.0,17.0,2026-03-18,SPECIES,5133322,100.0,,,"BO,BR,CO,EC,PE",South America,,,
Zerynthia polyxena,Southern Festoon,ingested,lepidoptera,"[-8.00, -20.04, 57.57, 56.59]",2015-01-01 to 2025-07-24,14090.0,14013.0,2026-03-18,SPECIES,5141262,99.5,,,"AL,AT,BA,BG,BY,CH,CY,CZ,DE,ES,FR,GR,HR,HU,IT,MD,ME,MK,MU,PT,RO,RS,RU,SI,SK,TR,UA,XK",Southern Europe,,,
Speiredonia spectans,Granny's Cloak Moth,ingested,lepidoptera,"[130.74, -38.40, 167.45, -12.43]",2015-01-01 to 2025-12-31,1429.0,1429.0,2026-03-18,SPECIES,1797039,100.0,,,"AU,NC",Australia and New Zealand,,,
Marpesia petreus,Red Dagger Wing,ingested,lepidoptera,"[-112.09, -34.89, 119.55, 33.37]",2015-01-04 to 2025-12-31,5979.0,5937.0,2026-03-16,SPECIES,5133621,99.3,,,"AR,BO,BQ,BR,BZ,CO,CR,DM,DO,EC,GF,GP,GT,HN,ID,KN,LC,MS,MX,NI,PA,PE,PR,PY,SR,SV,TT,US,UY,VE",South America,,,
